,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
145,1.0,53.75,18.0,74.0,2,20.25,0.13333333333333333,26.0,0.5,2.0,36.0
146,1.0,146.0,26.0,146.0,2,26.0,0.04878048780487805,86.0,0.5,1.0,86.0
147,1.0,82.8,7.0,89.0,2,17.2,0.1,58.0,0.5,2.0,51.333333333333336
148,1.0,362.1,9.0,899.0,2,13.9,0.19230769230769232,94.0,0.5,4.0,230.0
149,1.0,352.0,9.0,1317.0,2,22.4,0.19444444444444445,108.0,0.5,4.0,305.14285714285717
150,1.0,55.0,35.0,56.0,2,38.2,0.06976744186046512,51.0,0.5,2.0,47.333333333333336
151,1.0,58.4,20.0,65.0,2,22.4,0.09090909090909091,32.0,0.5,0.0,39.0
152,1.0,39.05,8.0,40.0,2,21.3,0.11538461538461539,31.5,0.5,2.0,28.666666666666668
153,1.0,34.8,2.0,40.0,2,4.4,0.08571428571428572,14.0,0.5,0.0,18.666666666666668
154,1.0,--,,,2,--,0.0,--,0.5,,
155,1.0,8.0,7.0,8.0,2,7.0,0.043478260869565216,7.5,0.5,0.0,7.5
156,1.0,147.0,16.0,168.0,2,25.4,0.1,63.0,0.5,2.0,82.33333333333333
157,1.0,5,5.0,5.0,2,5,0.023255813953488372,5,0.5,0.0,5.0
158,1.0,79.0,50.0,79.0,2,50.0,0.05128205128205128,64.5,0.5,2.0,64.5
159,1.0,33,33.0,33.0,2,33,0.029411764705882353,33,0.5,1.0,33.0
160,1.0,24.0,13.0,24.0,2,13.0,0.058823529411764705,18.5,0.5,1.0,18.5
161,1.0,59.8,13.0,71.0,2,13.4,0.07142857142857142,15.0,0.5,1.0,33.0
162,1.0,26.8,9.0,30.0,2,10.0,0.07894736842105263,14.0,0.5,1.0,17.666666666666668
163,1.0,49,49.0,49.0,2,49,0.02631578947368421,49,0.5,1.0,49.0
164,1.0,51.0,19.0,51.0,2,19.0,0.07692307692307693,35.0,0.5,1.0,35.0
165,1.0,69.45,10.0,78.0,2,12.85,0.16666666666666666,54.0,0.5,2.0,46.333333333333336
166,1.0,27,27.0,27.0,2,27,0.037037037037037035,27,0.5,0.0,27.0
167,1.0,87.2,5.0,94.0,2,31.4,0.15555555555555556,64.0,0.5,4.0,57.0
168,1.0,2,2.0,2.0,3,2,0.03333333333333333,2,0.5,0.0,2.0
169,1.0,12,12.0,12.0,3,12,0.03125,12,0.5,0.0,12.0
170,1.0,--,,,3,--,0.0,--,0.5,,
171,1.0,--,,,3,--,0.0,--,0.5,,
172,1.0,19.0,18.0,19.0,3,18.0,0.05263157894736842,18.5,0.5,1.0,18.5
173,1.0,19.8,5.0,23.0,3,5.4,0.07317073170731707,7.0,0.5,2.0,11.666666666666666
174,1.0,--,,,3,--,0.0,--,0.5,,
175,1.0,--,,,3,--,0.0,--,0.5,,
