,PART,SCALE,Q1,Q3,AVG,N_SURG,Q2,MAX,MIN
63,0.8737864077669902,1.5,288.15000000000003,2671.9,1523.8277777777778,1,1087.0,4084,5
64,0.976303317535545,1.5,900.6500000000001,3397.65,2251.0728155339807,1,2395.5,4715,1
65,0.7909090909090909,1.5,123.75000000000001,773.1500000000001,452.07471264367814,1,361.0,1596,2
66,0.8536585365853658,1.5,115.95,1289.2,738.5190476190476,1,522.5,2340,4
67,0.7725321888412017,1.5,81.9,717.1,497.1,1,351.5,2298,2
68,0.8846153846153846,1.5,154.4,1013.400000000001,692.096618357488,1,402.0,2985,2
69,0.8023715415019763,1.5,167.20000000000002,815.0,675.7142857142857,1,338.0,2935,1
70,0.42700729927007297,1.5,22.0,179.09999999999997,106.74358974358974,2,67.0,464,3
71,0.4493927125506073,1.5,32.0,257.0,216.40540540540542,2,94.0,1132,1
72,0.3697478991596639,1.5,31.45,176.2,111.86363636363636,2,66.0,428,1
73,0.41228070175438597,1.5,29.95,109.34999999999998,201.7659574468085,2,67.0,1698,1
74,0.32340425531914896,1.5,16.45,79.39999999999998,66.80263157894737,2,29.0,386,1
75,0.350597609561753,1.5,25.0,173.75,221.0909090909091,2,85.5,1386,1
76,0.41626794258373206,1.5,40.4,353.4,213.8735632183908,2,103.0,1187,1
77,0.35039370078740156,1.5,23.7,125.6,90.78651685393258,2,74.0,323,2
78,0.36492890995260663,1.5,31.7,177.09999999999997,134.16883116883116,2,84.0,560,2
79,0.34782608695652173,1.5,25.9,136.1,91.11363636363636,2,69.5,352,1
80,0.08139534883720931,1.5,9.0,25.050000000000015,29.142857142857142,3,18.0,117,4
81,0.11715481171548117,1.5,9.0,33.55,26.285714285714285,3,24.0,80,1
82,0.17266187050359713,1.5,14.349999999999998,211.89999999999995,103.375,3,36.0,293,1
83,0.12318840579710146,1.5,7.949999999999999,59.5,41.029411764705884,3,30.0,201,1
84,0.1474820143884892,1.5,12.0,39.0,26.146341463414632,3,23.0,74,1
85,0.15748031496062992,1.5,12.0,54.400000000000006,35.475,3,21.0,97,7
86,0.1822429906542056,1.5,24.2,413.00000000000006,170.51282051282053,3,46.0,529,3
87,0.15422885572139303,1.5,14.599999999999998,44.8,32.516129032258064,3,30.0,87,4
88,0.2671232876712329,1.5,14.95,65.19999999999999,51.205128205128204,3,36.0,226,1
89,0.11952191235059761,1.5,17.95,49.70000000000002,62.36666666666667,3,34.0,227,1
90,0.9358288770053476,2.0,370.40000000000003,2777.4000000000005,1559.64,1,841.0,5522,12
91,1.0,2.0,3380.85,4610.25,3974.2302158273383,1,4064.5,5280,1617
92,1.0,2.0,2795.8,3997.2,3408.720930232558,1,3678.0,5909,624
93,1.0,2.0,3209.8,5674.200000000002,4409.394618834081,1,3882.0,7669,1932
94,0.9619565217391305,2.0,2319.9,7439.200000000001,4305.74011299435,1,4109.0,9102,27
95,0.9743589743589743,2.0,1021.0,2349.6500000000005,1606.3684210526317,1,1382.5,3094,133
96,0.8733031674208145,2.0,187.10000000000002,780.6,516.6891191709844,1,449.0,1366,1
97,0.8810572687224669,2.0,492.35,1665.65,1120.74,1,1024.0,3025,1
98,0.93,2.0,509.90000000000003,2075.7000000000003,1322.016129032258,1,1291.5,3441,1
99,0.9942196531791907,2.0,1600.8000000000002,8868.8,5794.889534883721,1,6962.5,12892,144
100,0.5042735042735043,2.0,52.85,244.25,208.59322033898306,2,132.0,1188,1
101,0.47619047619047616,2.0,49.45,211.64999999999998,173.09166666666667,2,118.0,879,1
102,0.3983050847457627,2.0,34.949999999999996,162.1,111.67021276595744,2,83.0,535,1
103,0.5185185185185185,2.0,35.45,276.44999999999993,184.19285714285715,2,95.0,771,3
104,0.4924812030075188,2.0,38.2,451.4,300.90076335877865,2,128.0,1342,1
105,0.5679012345679012,2.0,39.95,324.0,187.15942028985506,2,141.0,656,1
106,0.46296296296296297,2.0,63.349999999999994,245.99999999999994,247.8,2,135.0,946,4
107,0.41350210970464135,2.0,34.89999999999999,251.84999999999997,182.70408163265307,2,104.5,954,1
108,0.3855932203389831,2.0,24.0,145.0,159.28571428571428,2,62.0,1035,2
109,0.4807692307692308,2.0,54.8,410.0499999999997,265.79,2,177.5,1360,2
