,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
58,7215,0.9901083372585964,4535.0,5884.55,2,369,2,0.0,4257.024976213131,3023.45
59,6545,0.9972177138882449,2926.0,3905.6000000000004,2,328,2,0.0,3122.8811904208324,2168.4
60,777,0.6723754448398577,107.0,239.0,3,46,1,0.0,149.67780350645054,34.0
61,890,0.6651845264562027,113.0,286.0,3,55,1,0.0,192.66310160427807,33.0
62,705,0.5943508188938998,70.0,159.0,3,46,1,0.0,120.23362619808307,28.0
63,509,0.5929519918283963,95.0,211.0,3,31,1,0.0,133.89147286821705,31.0
64,868,0.6258393146561704,111.0,211.0,3,39,1,0.0,145.684794672586,32.0
65,690,0.7540234452612756,111.0,240.0,3,49,1,0.0,155.6403162055336,42.0
66,843,0.7308963238331269,171.0,376.0,3,64,1,0.0,239.81322407459734,46.0
67,572,0.7348601629597005,130.0,255.0,3,45,1,0.0,165.19089002097692,48.0
68,1405,0.7365713109693353,221.0,559.0,3,100,1,0.0,360.5699916177703,44.0
69,329,0.49888751545117427,48.0,96.0,3,22,1,0.0,67.28691774033696,19.0
70,782,0.646273637374861,92.0,237.0,3,58,1,0.0,158.78175559380378,34.0
71,638,0.6979684908789386,109.0,252.0,3,42,1,0.0,159.63587763587765,35.0
72,504,0.6877339792997137,98.0,181.0,3,37,1,0.0,123.82901056676273,35.0
73,495,0.5587512291052114,64.0,144.0,3,37,1,0.0,99.90145182578091,22.0
74,745,0.7729526075748563,134.0,299.0,3,59,1,0.0,193.62596203181118,54.0
75,743,0.6258487473659564,103.0,249.29999999999995,3,47,1,0.0,155.9420127197905,34.0
76,1378,0.7103312990409765,117.0,254.0,3,83,1,0.0,205.30868364528996,43.0
77,740,0.6320070345130798,94.0,178.0,3,34,1,0.0,126.83269565217391,35.0
78,643,0.7586340706247575,135.0,243.0,3,54,1,0.0,172.80869565217392,49.0
79,655,0.6802452912833991,95.0,199.05000000000018,3,38,1,0.0,135.87604636188024,39.0
80,367,0.5992091183996279,63.0,138.0,3,29,1,0.0,89.88431677018633,25.0
