,SCALE,N_SURG,Q3,PART,MAX_QUEUE_LENGTH,AVG,Q1,MIN,MAX,Q2
82,1.5,3,46.05,0.0990990990990991,3.0,47.86363636363637,10.95,2.0,279.0,28.0
83,1.5,3,21.8,0.09642857142857143,5.0,25.444444444444443,9.6,1.0,135.0,18.0
84,1.5,3,36.35,0.12093023255813953,3.0,25.923076923076923,13.0,1.0,64.0,19.0
85,1.5,3,63.9,0.1518324607329843,5.0,43.96551724137931,17.7,1.0,111.0,35.0
86,1.5,3,50.05,0.1625441696113074,4.0,44.34782608695652,17.85,2.0,193.0,35.0
87,1.5,3,123.65,0.1532258064516129,9.0,80.36842105263158,15.75,1.0,348.0,40.5
88,1.5,3,55.8,0.1169811320754717,3.0,35.25806451612903,13.4,1.0,106.0,28.0
89,1.5,3,35.0,0.07142857142857142,4.0,26.88235294117647,8.4,1.0,103.0,15.0
90,2.0,1,3574.3,0.8873873873873874,73.0,2354.979695431472,387.1,6.0,5347.0,2659.0
91,2.0,1,1547.8,0.9637096774193549,54.0,1293.008368200837,600.8,13.0,5013.0,1135.0
92,2.0,1,3665.7,1.0,70.0,2967.934497816594,2584.9,635.0,5018.0,3053.0
93,2.0,1,3064.8,0.9358288770053476,74.0,2191.885714285714,946.2,4.0,4475.0,2583.0
94,2.0,1,2882.7,0.9823008849557522,79.0,2238.864864864865,1276.8,11.0,4431.0,2446.0
95,2.0,1,2634.9,0.9861111111111112,60.0,1926.1361502347418,943.3,3.0,5382.0,1757.0
96,2.0,1,6169.6,0.9887005649717514,114.0,3368.782857142857,864.4,59.0,8209.0,1985.0
97,2.0,1,2672.0,0.9141414141414141,59.0,1625.3812154696132,524.9,8.0,3724.0,1532.0
98,2.0,1,916.35,0.8652482269503546,23.0,687.4016393442623,281.45,9.0,2292.0,691.5
99,2.0,1,1033.15,0.811965811965812,27.0,591.9684210526316,106.7,2.0,1750.0,466.5
100,2.0,2,553.8,0.444,26.0,308.85585585585585,30.0,2.0,1332.0,96.0
101,2.0,2,209.05,0.3949579831932773,13.0,149.19148936170214,36.95,1.0,895.0,94.0
102,2.0,2,113.2,0.3147410358565737,8.0,81.0253164556962,15.0,1.0,428.0,44.0
103,2.0,2,228.3,0.4019607843137255,17.0,175.2439024390244,23.9,1.0,1239.0,79.5
104,2.0,2,263.75,0.28846153846153844,18.0,180.01666666666668,26.0,3.0,1334.0,79.5
105,2.0,2,265.15,0.5675675675675675,23.0,189.52380952380952,52.95,1.0,650.0,140.0
106,2.0,2,716.25,0.5152838427947598,29.0,389.1525423728813,48.95,2.0,2038.0,129.5
107,2.0,2,482.0,0.502283105022831,25.0,289.7090909090909,57.15,1.0,1281.0,130.0
108,2.0,2,255.2,0.48905109489051096,11.0,168.80597014925374,55.85,1.0,610.0,153.0
109,2.0,2,227.7,0.42436974789915966,16.0,176.96039603960395,44.7,2.0,926.0,105.0
110,2.0,3,106.65,0.20512820512820512,7.0,58.9375,16.0,1.0,188.0,47.0
111,2.0,3,52.0,0.12962962962962962,3.0,35.964285714285715,12.9,1.0,141.0,27.5
112,2.0,3,39.05,0.20875420875420875,5.0,33.903225806451616,13.0,1.0,185.0,25.5
113,2.0,3,71.0,0.1902834008097166,9.0,59.8936170212766,10.4,1.0,311.0,28.0
114,2.0,3,77.1,0.23157894736842105,8.0,61.61363636363637,16.0,1.0,472.0,32.5
115,2.0,3,38.6,0.2314410480349345,3.0,28.339622641509433,11.0,1.0,104.0,21.0
116,2.0,3,124.2,0.1977401129943503,7.0,81.62857142857143,37.4,4.0,273.0,63.0
117,2.0,3,45.7,0.1485148514851485,5.0,34.3,8.95,1.0,134.0,20.0
118,2.0,3,81.6,0.1752136752136752,10.0,51.75609756097561,10.0,1.0,239.0,29.0
119,2.0,3,80.05,0.19101123595505617,6.0,49.794117647058826,14.85,1.0,149.0,35.5
120,2.5,1,7705.6,0.959731543624161,141.0,4898.972027972028,2788.4,22.0,12516.0,3471.0
121,2.5,1,7136.2,1.0,125.0,5624.896373056995,4500.8,631.0,8121.0,6037.0
122,2.5,1,2052.9,0.9493087557603687,59.0,1485.0339805825242,870.85,1.0,3403.0,1232.5
123,2.5,1,10776.0,0.9935483870967742,175.0,8382.662337662337,5900.7,3.0,12771.0,9740.5
124,2.5,1,3779.5,0.9910313901345291,86.0,3173.180995475113,2685.7,4.0,5205.0,3131.0
125,2.5,1,1918.3,0.8936170212765957,56.0,1385.3511904761904,330.8,4.0,4395.0,1415.0
126,2.5,1,3398.2,1.0,87.0,2655.9005847953217,1659.8,768.0,6500.0,2268.0
127,2.5,1,9091.6,0.9869281045751634,150.0,5419.496688741722,1545.0,8.0,10174.0,5141.0
128,2.5,1,7018.2,1.0,129.0,4685.941935483871,1904.6,523.0,9129.0,5401.0
129,2.5,1,1057.0,0.9801980198019802,50.0,875.1515151515151,494.8,3.0,4585.0,743.0
130,2.5,2,737.6,0.6626506024096386,33.0,470.91515151515154,116.4,1.0,1622.0,328.0
131,2.5,2,212.75,0.49162011173184356,19.0,160.4659090909091,46.45,2.0,943.0,126.0
132,2.5,2,359.7,0.49159663865546216,36.0,290.84615384615387,61.1,6.0,1677.0,205.0
133,2.5,2,185.2,0.4156378600823045,15.0,127.68316831683168,26.4,1.0,549.0,90.0
134,2.5,2,442.15,0.451063829787234,29.0,340.24528301886795,43.0,1.0,1614.0,150.5
135,2.5,2,368.9,0.6032388663967612,35.0,285.4429530201342,65.7,2.0,2296.0,151.0
136,2.5,2,270.4,0.41434262948207173,15.0,184.625,31.8,1.0,1269.0,97.0
137,2.5,2,367.2,0.5945945945945946,18.0,283.8376623376623,73.0,1.0,1141.0,183.0
138,2.5,2,257.85,0.5217391304347826,18.0,192.6851851851852,46.9,2.0,956.0,137.5
139,2.5,2,604.0,0.6540084388185654,29.0,362.8838709677419,81.2,2.0,1268.0,312.0
140,2.5,3,172.8,0.24789915966386555,19.0,183.6271186440678,25.0,4.0,804.0,66.0
141,2.5,3,162.65,0.3283582089552239,10.0,111.7159090909091,43.9,2.0,503.0,106.0
142,2.5,3,136.6,0.23563218390804597,9.0,86.58536585365853,28.4,1.0,303.0,59.0
143,2.5,3,125.5,0.3607142857142857,10.0,82.43564356435644,28.4,5.0,223.0,74.0
144,2.5,3,85.4,0.23333333333333334,11.0,66.04761904761905,14.2,1.0,351.0,28.0
145,2.5,3,140.35,0.24701195219123506,19.0,92.91935483870968,26.9,2.0,448.0,57.0
146,2.5,3,68.8,0.20081967213114754,13.0,66.16326530612245,19.7,1.0,337.0,37.0
147,2.5,3,120.55,0.3448275862068966,17.0,168.4125,37.9,3.0,1094.0,70.5
148,2.5,3,192.1,0.28054298642533937,17.0,139.82258064516128,20.95,7.0,644.0,59.5
149,2.5,3,262.2,0.3103448275862069,18.0,164.31746031746033,29.0,3.0,665.0,105.0
