,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
32,1,45.0,104.0,16,19.0,391,75.74529914529914,0.5,2,0.5227882037533512
33,1,48.0,97.0,18,19.0,570,83.21786064769381,0.5,2,0.45715567519066846
34,1,49.0,100.0,15,22.0,317,69.40454914703493,0.5,2,0.5189713322091062
35,1,45.0,102.0,14,19.0,406,70.918683446273,0.5,2,0.4836142322097378
36,1,44.0,94.0,15,19.0,552,74.284588441331,0.5,2,0.49934411893310016
37,1,70.0,219.29999999999995,35,29.0,1010,163.82914572864323,0.5,2,0.5664904432696218
38,1,46.0,117.0,17,20.0,387,77.74196597353497,0.5,2,0.4748653500897666
39,1,42.0,94.0,13,19.0,356,66.21993833504625,0.5,2,0.4492151431209603
40,1,17.0,33.0,7,8.700000000000003,105,24.26618705035971,0.5,3,0.18691169878978037
41,1,18.0,34.0,7,8.0,95,23.468220338983052,0.5,3,0.2108083966056275
42,1,20.0,37.80000000000001,8,10.0,144,27.293913043478263,0.5,3,0.23517382413087934
43,1,20.0,40.0,10,10.0,145,30.241847826086957,0.5,3,0.1841841841841842
44,1,20.0,33.0,8,10.0,104,24.59630606860158,0.5,3,0.17570700046360685
45,1,18.0,35.0,6,10.0,110,24.029776674937967,0.5,3,0.19300766283524903
46,1,17.0,41.05000000000001,10,7.0,186,35.23298429319372,0.5,3,0.17199459702836561
47,1,17.0,31.0,5,8.0,91,21.628888888888888,0.5,3,0.18167137666532096
48,1,14.0,25.05000000000001,4,7.0,112,18.71794871794872,0.5,3,0.12118073537027448
49,1,14.0,24.05000000000001,4,7.0,83,17.425714285714285,0.5,3,0.15350877192982457
50,1,15.0,25.0,6,7.0,88,18.446224256292908,0.5,3,0.18811881188118812
51,1,22.0,47.0,7,10.699999999999989,129,31.58236272878536,0.5,3,0.2531592249368155
52,1,23.0,39.30000000000001,6,10.0,121,28.30891089108911,0.5,3,0.23090992226794696
53,1,22.0,43.0,10,10.0,180,30.454113924050635,0.5,3,0.2588042588042588
54,1,19.0,34.0,9,8.0,175,28.267379679144383,0.5,3,0.1647577092511013
55,1,16.0,26.0,4,7.0,85,19.05673758865248,0.5,3,0.18850267379679145
56,1,17.0,29.0,5,9.0,108,21.919354838709676,0.5,3,0.1917808219178082
57,1,20.0,39.0,9,9.0,243,31.33157894736842,0.5,3,0.2261904761904762
58,1,21.0,41.80000000000001,11,9.0,298,37.1266149870801,0.5,3,0.1746389891696751
59,1,24.0,52.0,18,11.0,404,48.24663677130045,0.5,3,0.271179570328334
60,4,14135.0,21919.9,754,6536.1,30752,13986.809868718878,1.0,1,0.9981924988703118
61,38,17833.0,27324.600000000002,966,10380.2,38435,18952.313587212037,1.0,1,0.9985915492957746
62,17,15505.0,28871.800000000003,960,6487.800000000004,37454,17421.061750333185,1.0,1,0.9977836879432624
63,1,20544.5,30201.049999999996,936,9006.050000000001,36338,19313.39407540395,1.0,1,0.9995513683266039
64,5,21943.0,31582.1,1015,11824.8,39376,21247.43964365256,1.0,1,0.9982214317474433
65,4,19583.0,28004.8,932,10880.400000000001,37125,18884.95973472288,1.0,1,0.99154532644434
66,38,14317.0,25258.199999999997,832,6836.4000000000015,33171,15601.828757561656,1.0,1,0.9967532467532467
67,34,20520.5,29214.449999999997,988,9638.0,37725,19735.991580916743,1.0,1,0.9948813401582132
68,6,19138.0,28502.0,1023,9430.800000000003,38532,18892.72189616253,1.0,1,0.9968496849684968
69,16,18536.5,26682.15,945,7497.85,35843,17858.960980036296,1.0,1,0.9981884057971014
70,10,19951.0,31619.449999999997,1038,8884.050000000001,41301,20738.463728191,1.0,1,0.9986244841815681
71,43,18192.5,25253.2,813,9991.0,32519,17369.655776515152,1.0,1,0.9952874646559849
72,3,18970.0,28284.8,877,8251.2,34741,18298.216644052463,1.0,1,0.995049504950495
73,14,13182.0,23472.15,766,5140.95,30216,13886.514233241505,1.0,1,0.9977095739807604
74,9,16102.0,23336.3,811,8127.95,32834,15541.574229691876,1.0,1,0.996742671009772
75,11,23238.0,33939.7,1089,13183.400000000003,44308,23405.262961233067,1.0,1,0.9986007462686567
76,10,16908.0,27780.199999999997,903,8493.000000000002,36673,17988.547818012998,1.0,1,0.9981464318813716
77,2,20467.0,31912.899999999998,992,10353.1,37674,20783.915799004073,1.0,1,0.9941494149414941
