,MIN,Q3,Q1,MAX,Q2,N_SURG,PART,SCALE,AVG
90,2,156.75,27.45,421,68.5,1,0.4580152671755725,1.5,114.18333333333334
91,1,113.19999999999999,15.7,352,56.0,1,0.22178988326848248,1.5,78.2280701754386
92,4,112.0,21.0,595,53.5,1,0.2895927601809955,1.5,83.28125
93,2,209.49999999999972,40.95,622,103.0,1,0.3431372549019608,1.5,165.67142857142858
94,1,98.39999999999999,25.0,410,46.0,1,0.32642487046632124,1.5,74.55555555555556
95,3,160.64999999999992,36.349999999999994,464,86.0,1,0.3776824034334764,1.5,118.0909090909091
96,2,122.3,32.4,1615,85.0,1,0.37055837563451777,1.5,183.8904109589041
97,3,95.0,21.2,185,42.0,1,0.29831932773109243,1.5,60.014084507042256
98,1,170.14999999999986,23.0,1079,50.5,1,0.2895927601809955,1.5,146.390625
99,3,155.6,36.2,566,80.0,1,0.4153225806451613,1.5,113.66019417475728
100,2,178.3,21.7,542,52.0,2,0.26991150442477874,1.5,122.72131147540983
101,2,172.3999999999999,16.0,708,47.0,2,0.3317757009345794,1.5,138.26760563380282
102,1,104.05,17.0,234,43.0,2,0.31451612903225806,1.5,64.91025641025641
103,1,112.1,20.45,1432,58.5,2,0.3047619047619048,1.5,217.96875
104,1,298.4,21.2,799,48.0,2,0.32170542635658916,1.5,156.46987951807228
105,6,126.8,26.2,750,54.0,2,0.39748953974895396,1.5,114.50526315789473
106,1,112.3,22.0,343,46.0,2,0.36818181818181817,1.5,70.58024691358025
107,4,159.8,19.2,326,70.0,2,0.27638190954773867,1.5,98.54545454545455
108,1,144.49999999999997,26.9,615,57.0,2,0.2807017543859649,1.5,112.21875
109,1,144.5,23.7,497,54.0,2,0.39705882352941174,1.5,92.28395061728395
110,3,66.79999999999998,22.4,245,39.0,3,0.2903225806451613,1.5,61.6031746031746
111,1,91.0,17.0,295,30.0,3,0.23412698412698413,1.5,70.0677966101695
112,1,78.19999999999999,16.95,482,57.0,3,0.2857142857142857,1.5,70.9
113,3,107.0,29.849999999999998,1256,61.0,3,0.325,1.5,140.56410256410257
114,1,88.39999999999999,31.0,198,58.0,3,0.30864197530864196,1.5,64.29333333333334
115,1,75.59999999999998,19.2,514,43.0,3,0.34297520661157027,1.5,64.24096385542168
116,2,173.64999999999992,31.45,525,98.5,3,0.26804123711340205,1.5,129.34615384615384
117,2,101.55,15.0,487,44.5,3,0.32,1.5,77.375
118,2,93.05,27.0,283,56.0,3,0.2920353982300885,1.5,77.18181818181819
119,1,163.6,27.0,537,81.0,3,0.41923076923076924,1.5,125.60550458715596
120,6,247.39999999999986,41.7,1106,101.0,1,0.35185185185185186,2.0,202.859649122807
121,5,239.79999999999998,37.7,1322,89.0,1,0.4708333333333333,2.0,209.53982300884957
122,1,128.2,15.099999999999998,414,49.0,1,0.34765625,2.0,86.68539325842697
123,1,291.4,59.95,975,141.5,1,0.4769874476987448,2.0,221.0
124,1,147.54999999999998,25.0,491,63.5,1,0.4140625,2.0,94.40566037735849
125,3,254.0,34.7,891,109.0,1,0.46311475409836067,2.0,175.84070796460176
126,3,325.34999999999997,37.75,853,89.5,1,0.44565217391304346,2.0,189.109756097561
127,1,489.09999999999997,47.95,1681,127.5,1,0.5214007782101168,2.0,353.52985074626866
128,1,184.99999999999994,38.2,790,78.0,1,0.4504950495049505,2.0,160.98901098901098
129,3,272.59999999999997,43.0,679,159.0,1,0.40444444444444444,2.0,183.1978021978022
130,2,248.8,42.2,822,115.0,2,0.46120689655172414,2.0,179.02803738317758
131,2,222.14999999999998,21.95,567,58.0,2,0.43018867924528303,2.0,139.1578947368421
132,2,236.94999999999993,36.0,855,81.0,2,0.4691358024691358,2.0,158.91228070175438
133,3,380.0,70.7,1063,203.0,2,0.5889328063241107,2.0,291.4563758389262
134,4,249.6,38.400000000000006,1406,142.0,2,0.5510204081632653,2.0,213.05185185185186
135,1,224.4,44.0,1143,97.0,2,0.41361256544502617,2.0,182.1772151898734
136,3,311.8,57.199999999999996,1572,185.0,2,0.5278969957081545,2.0,296.349593495935
137,5,225.14999999999998,33.849999999999994,869,103.5,2,0.3563218390804598,2.0,157.56451612903226
138,2,143.3,20.0,423,71.0,2,0.4590909090909091,2.0,101.03960396039604
139,1,346.19999999999993,36.45,1371,105.5,2,0.5267489711934157,2.0,245.625
140,3,283.54999999999995,31.0,1151,85.0,3,0.45689655172413796,2.0,194.24528301886792
141,1,171.8,31.2,342,88.0,3,0.4099099099099099,2.0,109.8021978021978
142,1,165.39999999999998,31.0,350,70.0,3,0.4349593495934959,2.0,102.70093457943925
143,2,376.99999999999994,44.2,1173,155.0,3,0.4583333333333333,2.0,279.37373737373736
144,1,238.49999999999994,21.7,949,44.0,3,0.3943089430894309,2.0,149.37113402061857
145,2,218.39999999999998,58.949999999999996,369,113.0,3,0.49038461538461536,2.0,140.59803921568627
146,1,122.1,23.349999999999998,291,59.5,3,0.336,2.0,80.20238095238095
147,2,212.4,41.199999999999996,1037,129.0,3,0.45726495726495725,2.0,174.42056074766356
148,2,362.4,45.400000000000006,1685,120.0,3,0.5745614035087719,2.0,351.9389312977099
149,6,238.29999999999993,56.349999999999994,712,108.0,3,0.49504950495049505,2.0,174.21
